Date,Open,High,Low,Close,Volume,EMA_fast,EMA_slow,SMA_long,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Vol_MA,Vol_Ratio,ATR,ATR_Pct,StochRSI,StochRSI_K,StochRSI_D,Sig_EMA,Sig_SMA,Sig_RSI,Sig_MACD,Sig_BB,Sig_Vol,EMA_Cross,MACD_Cross,Score,Buy_Signal,Sell_Signal
2025-03-03,357.28202554123914,375.6986247959422,357.28202554123914,370.17364501953125,18408000,370.17364501953125,370.17364501953125,,,0.0,0.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,False,False
2025-03-04,370.1736313177615,370.1736313177615,359.12367217394774,360.96533203125,16596500,369.2966628301711,369.81253470626535,,,-0.7345662782674935,-0.14691325565349872,-0.5876530226139949,,,,,,,,,,,,,-1,0,0,-1,0,0,-1,-1,-2,False,True
2025-03-05,360.96534768129004,366.4903274927384,357.2820278069912,359.1236877441406,13430600,368.327808060073,369.3933642371624,,,-1.4486218379528282,-0.4072549721133646,-1.0413668658394637,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-06,359.12367217394774,364.6486517458546,357.2820123166454,360.96533203125,20386800,367.62661986685174,369.0628531702639,,,-1.8446467710655838,-0.6947333319038085,-1.1499134391617754,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-07,360.9653469027602,366.4903267022922,359.1236869695828,362.8070068359375,7275600,367.16760910200276,368.8175258630354,,,-1.986986870753583,-0.9531840396737634,-1.0338028310798195,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-10,362.8069918885523,364.6486517458546,357.2820123166454,360.96533203125,11373500,366.57691604764534,368.5095966931615,,,-2.222777396287654,-1.2071027109965415,-1.0156746852911125,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-11,357.2820129394531,359.1236727999658,351.7570333579152,357.2820129394531,7652700,365.69168718019847,368.0692992910553,,,-2.6760087908946275,-1.500883926976159,-1.1751248639184686,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-12,359.12367217394774,362.8069918885523,357.2820123166454,360.96533203125,5221000,365.2415581183938,367.7907123396904,,,-2.7067827617863713,-1.7420636939382015,-0.9647190678481699,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-13,360.96533203125,364.6486517458546,357.2820123166454,360.96533203125,4244300,364.83429849104675,367.5230503668104,,,-2.700046895541618,-1.9336603342588852,-0.766386561282733,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-14,360.96534768129004,360.96534768129004,357.2820278069912,359.1236877441406,6031400,364.29043080086524,367.19366359729395,,,-2.810911537249865,-2.1091105748570813,-0.7018009623927837,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
