Date,Open,High,Low,Close,Volume,EMA_fast,EMA_slow,SMA_long,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Vol_MA,Vol_Ratio,ATR,ATR_Pct,StochRSI,StochRSI_K,StochRSI_D,Sig_EMA,Sig_SMA,Sig_RSI,Sig_MACD,Sig_BB,Sig_Vol,EMA_Cross,MACD_Cross,Score,Buy_Signal,Sell_Signal
2025-03-10,140.0,157.0,106.0,106.0,1082697000,106.0,106.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,False,False
2025-03-11,101.0,101.0,71.0,73.0,564495600,102.85714285714286,104.70588235294117,,,-2.6324786324786373,-0.5264957264957275,-2.10598290598291,,,,,,,,,,,,,-1,0,0,-1,0,0,-1,-1,-2,False,True
2025-03-12,74.0,84.0,72.0,75.0,419374900,100.20408163265306,103.54094579008074,,,-4.505417975503448,-1.3222801762972718,-3.1831377992061762,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-13,76.0,80.0,66.0,69.0,201110700,97.23226433430514,102.18639889635209,,,-6.400109278722283,-2.3378459967822742,-4.062263281940009,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-14,69.0,72.0,60.0,63.0,157818600,93.97204868341893,100.64967737100496,,,-8.290250792312847,-3.5283269558883887,-4.761923836424458,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-17,63.0,66.0,55.0,58.0,167332800,90.54613928499808,98.97714100351457,,,-10.075515501908725,-4.837764665092456,-5.23775083681627,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-18,59.0,65.0,52.0,54.0,124945700,87.06555459118873,97.21333155239637,,,-11.67849479857891,-6.205910691789747,-5.472584106789164,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-19,54.0,57.0,52.0,54.0,94833300,83.91645415393266,95.51869109936122,,,-12.80130199912017,-7.524988953255832,-5.276313045864338,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-20,55.0,56.0,51.0,52.0,95349700,80.87679185355812,93.81207576213137,,,-13.694654626334895,-8.758922087871646,-4.935732538463249,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-21,52.0,58.0,50.0,50.0,231038900,77.93614501036211,92.09395514400858,,,-14.398054495220109,-9.88674856934134,-4.511305925878769,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-24,50.0,50.0,50.0,50.0,0,75.27555977128,90.44321180502784,,,-14.785070865483789,-10.866413028569829,-3.91865783691396,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-25,50.0,50.0,50.0,50.0,6270100,72.86836360258667,88.85720349894831,,,-14.919797983320194,-11.677090019519904,-3.2427079638002905,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-26,50.0,50.0,50.0,50.0,3214300,70.69042421186413,87.33339159702876,,,-14.855327229678402,-12.312737461551604,-2.5425897681267973,,,,,,,,,,,,,-1,0,0,-1,0,0,0,0,-2,False,False
2025-03-27,50.0,50.0,50.0,50.0,2754600,68.71990762025803,85.86933702459626,,3.333333333333343,-14.635524477056727,-12.77729486465263,-1.858229612404097,,,,,,,,11.857142857142858,23.714285714285715,,,,-1,0,1,-1,0,0,0,0,-1,False,False
